Transaction ID,Date,Time,Store ID,Product ID,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID
T006645,2021-07-21,06:51 PM,S003,P0032,1,64688.47,64688.47,17062.84,Debit Card,C00174
T001394,2022-02-27,08:08 PM,S005,P00170,3,13342.85,40028.55,1738.68,Mobile Payment,C00277
T005888,2023-05-31,03:39 PM,S001,P0068,5,71019.16,355095.8,85465.71,Cash,C00159
T006955,2022-04-20,08:02 PM,S001,P00100,3,11697.12,35091.36,6756.89,Mobile Payment,C00107
T002074,2022-03-02,02:09 PM,S002,P00124,1,51243.22,51243.22,9047.25,Credit Card,C0078
T003549,2023-10-14,02:06 PM,S002,P00151,2,25805.92,51611.84,6265.0,Cash,C00100
T002469,2024-07-08,12:10 PM,S005,P00259,3,98157.37,294472.11,56095.47,Mobile Payment,C00391
T00355,2024-05-16,12:56 PM,S001,P00101,1,14956.46,14956.46,4271.83,Cash,C00203
T005696,2022-11-08,02:13 PM,S004,P00187,4,21448.95,85795.8,2821.32,Cash,C00314
T003116,2024-02-20,08:07 PM,S002,P00115,2,17271.79,34543.58,2558.28,Cash,C00210
T00439,2024-02-25,12:18 PM,S002,P0059,1,98570.24,98570.24,26889.39,Debit Card,C00477
T0074,2021-02-14,03:52 PM,S005,P00264,5,74180.5,370902.5,77273.97,Debit Card,C0053
T006181,2022-12-15,02:39 PM,S005,P0057,4,40934.01,163736.04,30492.69,Debit Card,C00438
T001453,2021-01-01,11:34 AM,S002,P00172,1,50664.28,50664.28,3209.16,Mobile Payment,C00644
T00618,2024-06-03,10:39 AM,S005,P0047,4,53399.15,213596.6,46882.12,Debit Card,C00561
T004223,2021-11-23,07:15 PM,S004,P0024,1,78741.62,78741.62,18409.1,Cash,C00372
T004247,2021-03-07,09:13 PM,S003,P00105,1,99028.26,99028.26,15290.42,Debit Card,C00544
T004383,2023-06-03,05:26 PM,S002,P002,3,67866.54,203599.62,10351.52,Debit Card,C00232
T00672,2023-12-19,10:57 AM,S002,P00215,2,28347.75,56695.5,7971.6,Cash,C00191
T003576,2022-10-28,10:12 AM,S001,P0090,5,73968.85,369844.25,92253.43,Mobile Payment,C00508
T006095,2021-11-19,11:14 AM,S005,P0087,5,71708.4,358542.0,34844.95,Debit Card,C0071
T001160,2022-08-30,08:07 PM,S002,P0021,1,41821.86,41821.86,4.03,Mobile Payment,C00110
T005278,2023-07-28,11:31 AM,S004,P00182,3,98743.46,296230.38,81963.59,Credit Card,C00411
T003579,2021-08-30,03:42 PM,S002,P00278,2,18981.89,37963.78,4833.92,Cash,C00543
T00545,2023-10-18,01:19 PM,S004,P0062,2,31115.44,62230.88,17645.29,Debit Card,C00267
T003079,2024-04-27,01:03 PM,S001,P00162,3,45328.71,135986.13,16942.32,Mobile Payment,C0017
T003942,2023-05-24,10:57 AM,S003,P0028,2,20859.05,41718.1,1602.67,Cash,C0049
T001754,2024-04-22,04:27 PM,S004,P00274,1,80900.87,80900.87,21266.11,Cash,C00230
T006456,2023-02-01,05:47 PM,S004,P0026,2,76702.51,153405.02,36561.53,Mobile Payment,C0083
T005944,2021-06-21,01:04 PM,S005,P0045,4,37091.17,148364.68,40869.92,Credit Card,C00606
T007012,2023-06-23,01:17 PM,S003,P00105,3,54959.5,164878.5,404.7,Mobile Payment,C00433
T003651,2022-04-17,06:00 PM,S001,P00239,3,20974.69,62924.07,13143.5,Debit Card,C00419
T001198,2021-05-11,04:12 PM,S003,P00132,4,56202.42,224809.68,57405.08,Cash,C0073
T00245,2021-09-03,06:45 PM,S003,P00272,4,46190.11,184760.44,42947.94,Cash,C00498
T004727,2021-04-10,11:18 AM,S003,P00223,2,84736.16,169472.32,39447.01,Credit Card,C00617
T003304,2024-05-14,04:24 PM,S004,P00154,3,96616.85,289850.55,50037.47,Cash,C0027
T006769,2023-03-05,05:01 PM,S001,P00115,5,80711.19,403555.95,7361.82,Mobile Payment,C00268
T00898,2022-01-04,03:19 PM,S002,P0029,5,6710.94,33554.7,2677.31,Debit Card,C0034
T006327,2022-12-11,08:53 PM,S005,P00286,4,82493.32,329973.28,90586.0,Cash,C0050
T00518,2022-12-16,10:37 AM,S002,P00202,3,50333.31,150999.93,13332.6,Credit Card,C00427
T006371,2023-03-29,03:34 PM,S004,P00276,2,46544.44,93088.88,4627.32,Mobile Payment,C0021
T004467,2024-04-21,12:40 PM,S005,P00199,3,10490.12,31470.36,4642.44,Cash,C00130
T002210,2021-06-04,08:53 PM,S002,P00202,1,86878.52,86878.52,9133.09,Debit Card,C00378
T005388,2022-07-08,05:45 PM,S004,P00216,4,10448.19,41792.76,5959.86,Credit Card,C00366
T004399,2023-03-26,05:31 PM,S002,P0080,5,84784.08,423920.4,53362.92,Cash,C00145
T006693,2022-04-19,05:44 PM,S002,P0091,3,97745.76,293237.28,3449.49,Cash,C00655
T001612,2024-05-29,03:34 PM,S004,P0029,3,23474.9,70424.7,3946.28,Cash,C00455
T001755,2022-01-28,12:57 PM,S005,P00251,3,32442.13,97326.39,18179.62,Mobile Payment,C00213
T003441,2021-09-21,09:24 PM,S001,P00274,3,97440.03,292320.09,11842.53,Credit Card,C00469
T004884,2023-01-07,08:15 PM,S005,P0074,4,57285.57,229142.28,35920.07,Credit Card,C00500
T006532,2023-04-19,09:05 PM,S002,P0065,2,89379.71,178759.42,37831.98,Credit Card,C00270
T003864,2021-01-08,10:10 AM,S005,P00124,5,86584.68,432923.4,120930.05,Debit Card,C0056
T005785,2022-06-08,06:48 PM,S004,P0071,1,62811.97,62811.97,3366.14,Credit Card,C00656
T006364,2022-08-18,07:26 PM,S005,P0047,2,29169.16,58338.32,4394.02,Debit Card,C00486
T00801,2023-05-16,06:54 PM,S005,P0059,5,12416.27,62081.35,11036.11,Mobile Payment,C00579
T001446,2024-01-27,01:19 PM,S003,P0064,5,28877.13,144385.65,10843.52,Mobile Payment,C00632
T005592,2022-11-22,08:45 PM,S005,P0059,1,97366.12,97366.12,28786.46,Credit Card,C00466
T003552,2022-12-08,10:38 AM,S001,P0066,4,54156.78,216627.12,54539.13,Mobile Payment,C0026
T002523,2023-11-15,09:33 PM,S002,P002,4,43436.16,173744.64,37356.5,Cash,C00456
T004478,2022-04-26,07:11 PM,S005,P0023,2,35703.13,71406.26,8656.74,Credit Card,C00170
T004083,2023-08-09,07:19 PM,S002,P00262,2,55552.54,111105.08,4151.57,Mobile Payment,C00136
T003803,2022-05-28,08:26 PM,S002,P00176,4,34144.62,136578.48,14711.17,Credit Card,C00533
T004502,2022-06-11,10:35 AM,S003,P0096,2,86942.94,173885.88,36177.39,Credit Card,C00407
T005889,2022-09-11,11:44 AM,S004,P00217,3,28780.92,86342.76,4158.44,Mobile Payment,C00528
T005302,2022-04-23,04:32 PM,S003,P0020,5,19750.07,98750.35,11312.83,Credit Card,C00540
T003111,2021-06-30,08:45 PM,S001,P00299,3,3255.16,9765.48,1775.57,Cash,C00337
T00766,2022-02-06,02:36 PM,S005,P00150,3,63730.5,191191.5,39679.8,Debit Card,C00347
T004331,2022-04-22,05:03 PM,S001,P00293,1,34002.0,34002.0,3933.32,Cash,C00381
T00545,2021-01-01,11:17 AM,S001,P0022,3,46251.66,138754.98,28105.52,Credit Card,C00672
T001921,2022-06-24,12:56 PM,S002,P00171,1,79366.01,79366.01,13139.43,Cash,C00560
T004956,2024-03-23,08:42 PM,S003,P00193,2,42780.42,85560.84,18823.15,Mobile Payment,C00127
T002283,2024-04-07,03:26 PM,S003,P00108,3,88401.44,265204.32,69903.02,Credit Card,C00580
T001215,2024-02-09,12:01 PM,S004,P00282,4,88748.05,354992.2,78841.74,Mobile Payment,C00155
T002034,2022-09-23,11:41 AM,S003,P00177,4,78528.74,314114.96,85654.01,Mobile Payment,C00178
T006105,2022-04-04,04:07 PM,S002,P00214,4,73520.36,294081.44,10879.58,Mobile Payment,C00247
T002648,2021-03-22,03:17 PM,S002,P00249,4,78691.49,314765.96,18765.17,Debit Card,C00336
T006802,2022-05-22,10:14 AM,S003,P00158,5,22474.29,112371.45,3847.5,Credit Card,C00212
T001462,2023-09-08,09:36 PM,S003,P00122,3,2479.33,7437.99,1588.11,Debit Card,C00300
T001930,2021-04-01,08:32 PM,S002,P00195,3,34773.07,104319.21,5945.06,Credit Card,C00563
T00699,2021-10-16,04:06 PM,S005,P00233,2,80445.68,160891.36,3908.23,Cash,C00124
T003476,2023-12-02,06:45 PM,S002,P00102,4,43334.22,173336.88,27629.91,Cash,C00553
T004639,2023-10-20,11:16 AM,S003,P00262,3,48055.26,144165.78,41224.14,Debit Card,C00522
T001082,2022-11-29,06:05 PM,S003,P00129,2,63410.56,126821.12,32030.81,Mobile Payment,C00419
T006818,2023-12-16,12:41 PM,S005,P00132,3,81634.43,244903.29,43027.9,Mobile Payment,C00262
T003422,2023-12-10,08:54 PM,S001,P00298,1,73540.92,73540.92,14671.9,Mobile Payment,C00287
T00460,2022-05-16,05:08 PM,S005,P00206,2,22586.64,45173.28,10292.66,Mobile Payment,C006
T00401,2022-08-26,06:03 PM,S004,P0039,5,21453.78,107268.9,7247.7,Cash,C00336
T005229,2022-09-14,10:09 AM,S003,P00181,4,60768.86,243075.44,12664.61,Mobile Payment,C0012
T003531,2023-08-22,01:42 PM,S005,P00206,4,90357.34,361429.36,88541.03,Debit Card,C00158
T005137,2024-06-27,01:04 PM,S003,P003,5,49050.96,245254.8,12756.42,Mobile Payment,C00113
T004489,2022-09-08,01:22 PM,S001,P00256,2,52302.94,104605.88,27861.06,Cash,C00357
T003736,2023-08-16,11:24 AM,S003,P00128,2,40580.13,81160.26,382.16,Debit Card,C00628
T003109,2024-06-28,05:05 PM,S005,P009,4,68941.78,275767.12,81618.45,Credit Card,C00260
T006064,2022-04-04,09:02 PM,S005,P00152,3,43781.97,131345.91,22608.36,Cash,C00286
T005439,2021-08-15,04:51 PM,S003,P00154,1,10738.04,10738.04,2328.7,Mobile Payment,C0027
T00294,2024-03-12,04:10 PM,S004,P00234,5,11705.91,58529.55,4112.25,Cash,C00257
T002504,2023-09-10,10:52 AM,S002,P00192,5,56527.58,282637.9,44483.35,Debit Card,C00565
T002862,2023-01-19,02:08 PM,S005,P00143,1,81627.69,81627.69,941.84,Credit Card,C00228
T001808,2024-02-17,05:05 PM,S003,P00231,4,11275.11,45100.44,4610.11,Cash,C00677
T004501,2021-12-21,10:30 AM,S001,P00249,4,23537.49,94149.96,15826.75,Cash,C00199
T002796,2023-03-05,06:13 PM,S003,P003,2,92261.6,184523.2,51841.88,Mobile Payment,C00465
T005501,2024-01-11,10:46 AM,S001,P00229,4,83762.39,335049.56,35139.9,Debit Card,C00361
T006920,2023-11-18,02:58 PM,S004,P0054,5,43213.6,216068.0,54009.24,Credit Card,C00511
T003369,2021-07-26,01:50 PM,S005,P00250,4,85897.67,343590.68,83973.48,Credit Card,C00108
T003280,2022-08-18,03:53 PM,S003,P0045,1,40682.59,40682.59,379.46,Debit Card,C00550
T002713,2024-02-27,11:20 AM,S003,P00223,1,63146.87,63146.87,11827.2,Mobile Payment,C00626
T001457,2021-05-28,02:53 PM,S004,P0087,4,7073.55,28294.2,1690.98,Debit Card,C00384
T002871,2021-04-07,08:19 PM,S001,P0046,2,49078.23,98156.46,6764.51,Debit Card,C00467
T005911,2024-06-07,03:31 PM,S005,P0081,5,41219.36,206096.8,41106.39,Credit Card,C00162
T001766,2023-11-28,08:12 PM,S003,P00216,5,60319.55,301597.75,29103.75,Debit Card,C00308
T003029,2021-09-14,07:51 PM,S002,P0063,1,38075.78,38075.78,5897.28,Credit Card,C0071
T0046,2023-09-27,11:22 AM,S002,P00175,4,36472.23,145888.92,29499.21,Debit Card,C00609
T004825,2023-09-16,09:51 PM,S004,P0093,2,64068.05,128136.1,36874.13,Cash,C00256
T001818,2022-07-29,06:37 PM,S001,P0036,3,97836.61,293509.83,77540.07,Cash,C0040
T002181,2022-04-08,09:09 PM,S005,P00240,5,10496.38,52481.9,11219.15,Credit Card,C00658
T004261,2022-09-05,04:54 PM,S003,P00175,3,99680.5,299041.5,22928.86,Cash,C00274
T003137,2022-01-24,12:49 PM,S002,P00215,2,9324.63,18649.26,4157.63,Credit Card,C00405
T004523,2022-12-27,08:15 PM,S003,P0040,2,14869.26,29738.52,4275.67,Cash,C00320
T002981,2021-03-15,05:16 PM,S003,P0089,2,52254.79,104509.58,6951.39,Credit Card,C00564
T005010,2022-12-14,02:00 PM,S001,P0096,2,42641.75,85283.5,16894.75,Credit Card,C00173
T006026,2021-02-21,09:59 PM,S004,P00183,5,93255.9,466279.5,111653.22,Mobile Payment,C00186
T001210,2021-05-16,05:43 PM,S003,P00182,2,85532.31,171064.62,39737.04,Debit Card,C00529
T004274,2021-04-05,09:54 PM,S002,P0038,2,59783.99,119567.98,14355.93,Mobile Payment,C00621
T00753,2024-03-28,07:44 PM,S001,P00187,2,36126.99,72253.98,3407.35,Cash,C00133
T005825,2024-02-17,09:35 PM,S005,P00164,3,31494.72,94484.16,19603.34,Debit Card,C00349
T004491,2023-12-21,03:13 PM,S004,P00201,1,23832.01,23832.01,3734.69,Mobile Payment,C0044
T006733,2022-09-04,11:03 AM,S002,P00172,3,8470.22,25410.66,4060.48,Credit Card,C00558
T002556,2022-01-13,02:05 PM,S002,P0098,5,26836.1,134180.5,27267.86,Mobile Payment,C00485
T001460,2022-09-25,11:12 AM,S001,P00262,1,41536.43,41536.43,579.87,Mobile Payment,C0024
T004864,2022-02-11,04:28 PM,S001,P00146,1,45011.28,45011.28,13205.7,Debit Card,C0022
T001913,2024-06-30,08:12 PM,S003,P00278,5,97494.59,487472.95,121325.33,Mobile Payment,C00435
T002548,2021-09-01,01:38 PM,S002,P0032,4,96341.01,385364.04,64344.79,Credit Card,C00642
T001409,2022-07-12,01:14 PM,S001,P00227,4,31490.41,125961.64,33689.5,Mobile Payment,C0051
T005359,2021-04-04,04:22 PM,S005,P0027,3,60834.05,182502.15,52391.22,Cash,C00415
T004949,2024-01-23,07:18 PM,S001,P00185,3,75219.97,225659.91,9147.46,Credit Card,C0035
T001226,2021-07-13,02:43 PM,S001,P0040,2,74209.93,148419.86,34872.04,Credit Card,C0026
T006045,2024-06-05,04:40 PM,S002,P00242,1,77905.61,77905.61,1641.91,Mobile Payment,C00176
T002347,2022-08-11,11:31 AM,S002,P0043,3,87410.66,262231.98,20754.86,Debit Card,C00202
T004213,2022-09-05,03:14 PM,S004,P00263,5,90695.03,453475.15,9889.38,Mobile Payment,C00617
T005104,2023-12-12,06:29 PM,S001,P00139,1,69150.97,69150.97,20495.6,Debit Card,C00574
T005295,2021-07-19,03:12 PM,S002,P0057,4,15466.65,61866.6,1719.28,Cash,C00325
T002497,2021-04-07,01:30 PM,S005,P00279,3,53350.85,160052.55,43488.64,Cash,C0042
T006152,2024-04-05,06:23 PM,S002,P00267,4,13768.84,55075.36,2608.22,Debit Card,C0051
T0046,2022-01-24,09:38 PM,S001,P00157,3,98036.7,294110.1,6684.73,Debit Card,C00370
T005734,2023-11-29,11:13 AM,S003,P00173,3,20986.97,62960.91,4341.45,Cash,C0073
T00993,2023-01-09,09:50 PM,S001,P00270,5,31990.77,159953.85,20232.05,Cash,C00546
T006132,2021-12-15,07:40 PM,S005,P0054,2,45428.64,90857.28,15742.31,Mobile Payment,C00104
T006933,2023-03-09,12:15 PM,S001,P0057,2,47380.95,94761.9,73.0,Credit Card,C00659
T006811,2022-07-20,01:54 PM,S005,P00228,5,81470.48,407352.4,108090.51,Mobile Payment,C0031
T002328,2022-04-23,01:04 PM,S002,P0097,4,81170.57,324682.28,97146.35,Cash,C00528
T006418,2023-11-03,09:00 PM,S004,P00170,3,15718.99,47156.97,5859.7,Cash,C00171
T001165,2021-08-07,09:23 PM,S003,P0036,3,17939.86,53819.58,12560.73,Debit Card,C00171
T002553,2022-04-24,07:53 PM,S001,P0064,3,3799.89,11399.67,733.25,Credit Card,C00525
T004704,2023-08-22,05:22 PM,S001,P00275,1,46629.43,46629.43,13597.14,Mobile Payment,C00420
T001556,2023-05-13,06:22 PM,S001,P00164,5,10092.36,50461.8,1108.36,Credit Card,C00206
T004865,2021-09-01,08:53 PM,S004,P00210,2,22554.89,45109.78,893.36,Debit Card,C00262
T005412,2021-12-08,10:15 AM,S005,P00263,2,74309.61,148619.22,40580.29,Mobile Payment,C00430
T002204,2022-02-18,09:45 PM,S002,P00267,5,92174.88,460874.4,55929.05,Debit Card,C00323
T003158,2021-04-02,08:22 PM,S005,P0016,2,41727.12,83454.24,46.99,Debit Card,C00394
T002788,2024-01-24,09:08 PM,S005,P00274,1,32141.14,32141.14,1114.58,Debit Card,C00405
T004833,2022-09-22,09:39 PM,S002,P00194,3,41053.08,123159.24,8469.48,Debit Card,C00552
T004515,2023-05-31,11:05 AM,S002,P00144,4,14012.59,56050.36,8372.54,Cash,C00403
T001743,2023-01-15,08:21 PM,S001,P0034,5,46329.78,231648.9,10091.49,Cash,C0021
T004259,2021-03-10,05:36 PM,S001,P00244,3,72830.05,218490.15,64020.7,Mobile Payment,C0027
T003343,2021-03-17,12:00 PM,S004,P0063,4,98105.91,392423.64,25637.67,Credit Card,C00652
T00131,2021-04-01,09:10 PM,S004,P0045,3,45045.06,135135.18,31776.14,Mobile Payment,C00426
T005495,2022-09-08,06:02 PM,S005,P00211,2,60204.87,120409.74,21992.19,Cash,C00178
T001264,2022-11-01,08:05 PM,S002,P00294,2,73206.11,146412.22,6315.47,Mobile Payment,C00107
T001272,2022-06-29,05:20 PM,S005,P00188,4,86219.27,344877.08,37356.44,Debit Card,C00679
T003885,2023-12-12,10:28 AM,S003,P00236,1,92146.25,92146.25,16304.78,Cash,C00107
T002004,2022-07-06,02:33 PM,S003,P00253,5,71388.2,356941.0,54758.95,Mobile Payment,C00284
T005381,2024-03-25,07:59 PM,S004,P00214,5,10743.36,53716.8,15420.86,Mobile Payment,C00560
T001983,2023-03-29,03:00 PM,S003,P00108,2,68309.34,136618.68,20532.54,Cash,C0049
T00516,2022-06-13,04:52 PM,S005,P0021,1,9125.74,9125.74,2192.04,Credit Card,C00396
T004932,2022-11-17,06:03 PM,S001,P0034,3,92916.47,278749.41,67241.66,Mobile Payment,C00426
T005597,2021-09-16,01:25 PM,S001,P0048,4,14998.04,59992.16,1566.04,Mobile Payment,C00206
T002290,2023-09-29,07:06 PM,S001,P00215,5,68884.53,344422.65,63009.58,Debit Card,C00426
T001415,2021-12-25,06:13 PM,S004,P00115,2,25233.41,50466.82,11190.88,Credit Card,C0069
T001826,2022-12-08,02:35 PM,S002,P00252,4,91197.56,364790.24,15868.27,Debit Card,C00491
T005388,2021-10-31,07:49 PM,S004,P00164,2,43382.5,86765.0,15660.17,Debit Card,C00235
T00932,2023-06-20,05:06 PM,S003,P00182,4,85450.07,341800.28,80820.3,Debit Card,C00492
T006940,2023-12-29,09:30 PM,S002,P00208,5,7028.4,35142.0,3147.78,Mobile Payment,C0071
T002378,2024-06-10,07:43 PM,S004,P00214,2,20685.19,41370.38,3758.9,Debit Card,C00400
T002547,2022-09-22,02:04 PM,S002,P00238,1,91387.76,91387.76,20763.24,Debit Card,C00194
T003106,2024-04-02,07:11 PM,S005,P00106,5,45415.07,227075.35,16829.88,Mobile Payment,C00475
T004791,2021-01-03,07:10 PM,S004,P00286,4,67653.89,270615.56,2666.76,Debit Card,C00184
T007007,2021-10-18,12:33 PM,S003,P0089,4,61426.73,245706.92,63846.11,Cash,C00436
T006751,2023-06-28,04:11 PM,S005,P0061,4,2652.18,10608.72,122.14,Credit Card,C0097
T006144,2023-04-18,04:39 PM,S004,P00158,4,9182.27,36729.08,10144.57,Mobile Payment,C00362
T001005,2022-11-17,10:52 AM,S001,P00283,3,9606.99,28820.97,589.04,Mobile Payment,C0053
T006593,2022-12-01,01:39 PM,S005,P00139,4,84983.07,339932.28,52679.19,Mobile Payment,C00309
T00159,2024-02-13,01:04 PM,S005,P00213,5,61550.54,307752.7,49566.26,Credit Card,C00120
T005119,2023-06-16,09:13 PM,S005,P00250,5,87079.28,435396.4,60163.27,Credit Card,C00201
T002598,2022-03-20,03:09 PM,S005,P00102,3,24210.95,72632.85,2823.62,Debit Card,C00435
T0037,2023-11-12,03:52 PM,S003,P0016,1,50172.15,50172.15,7708.06,Debit Card,C00353
T004016,2021-10-24,02:16 PM,S005,P0083,1,61941.18,61941.18,11176.7,Credit Card,C00670
T006458,2022-02-07,03:39 PM,S005,P0084,5,3592.03,17960.15,638.54,Credit Card,C00138
T005516,2021-07-28,02:42 PM,S002,P0043,2,76776.36,153552.72,13354.14,Mobile Payment,C00189
T002717,2023-06-27,05:17 PM,S002,P0091,2,87831.92,175663.84,31967.45,Mobile Payment,C00590
T006930,2021-11-18,11:50 AM,S004,P00147,2,97454.93,194909.86,14090.76,Debit Card,C00367
T004518,2022-09-16,01:09 PM,S001,P00170,1,61984.74,61984.74,2875.36,Debit Card,C00478
T001538,2023-12-18,04:16 PM,S001,P002,5,33572.14,167860.7,30718.08,Cash,C00381
T002039,2022-10-03,09:55 PM,S004,P0084,4,71096.4,284385.6,9636.34,Debit Card,C00301
T001822,2024-07-07,01:39 PM,S004,P00166,1,81190.05,81190.05,14623.59,Mobile Payment,C00675
T003116,2022-03-12,12:15 PM,S003,P00211,2,84765.9,169531.8,12419.74,Credit Card,C0097
T003676,2024-07-13,11:03 AM,S002,P00130,5,80583.35,402916.75,52558.48,Debit Card,C00145
T001437,2021-05-17,12:18 PM,S004,P0025,1,29511.13,29511.13,6404.16,Credit Card,C00153
T001061,2023-04-23,12:45 PM,S001,P00271,2,97589.39,195178.78,48430.03,Credit Card,C00208
T0088,2024-04-24,02:23 PM,S002,P0082,2,16154.12,32308.24,3741.85,Credit Card,C00612
T005955,2024-01-27,08:24 PM,S001,P00200,3,95442.95,286328.85,70864.62,Debit Card,C00578
T002153,2022-03-14,07:24 PM,S004,P0088,3,17563.29,52689.87,5107.88,Debit Card,C00117
T002028,2021-01-09,02:56 PM,S004,P00186,1,78635.65,78635.65,17530.18,Mobile Payment,C00299
T001506,2021-11-20,03:43 PM,S005,P00250,5,71023.93,355119.65,35908.04,Mobile Payment,C00398
T006958,2024-04-10,12:18 PM,S003,P0013,2,99169.44,198338.88,46807.65,Cash,C00338
T001803,2023-03-03,06:50 PM,S002,P0092,5,14553.13,72765.65,13953.06,Mobile Payment,C0079
T00606,2023-07-15,01:29 PM,S005,P00263,5,56591.48,282957.4,21034.76,Cash,C00534
T003596,2023-03-15,07:04 PM,S001,P00162,1,44110.11,44110.11,5249.91,Credit Card,C00613
T006379,2021-08-17,02:53 PM,S005,P0016,1,96718.86,96718.86,3271.35,Mobile Payment,C00610
T004560,2024-05-18,11:01 AM,S005,P009,3,2258.19,6774.57,1732.77,Mobile Payment,C00632
T006358,2022-10-10,11:33 AM,S005,P00185,1,75982.88,75982.88,22059.1,Cash,C00490
T003974,2021-08-18,09:50 PM,S004,P0060,4,49690.28,198761.12,19734.46,Cash,C00175
T006084,2022-03-14,09:29 PM,S001,P0034,4,29842.95,119371.8,29470.34,Credit Card,C00400
T002721,2022-11-19,11:51 AM,S005,P00283,1,84409.41,84409.41,2028.52,Cash,C00209
T004069,2022-08-10,04:59 PM,S003,P0084,3,43956.18,131868.54,3850.46,Cash,C00318
T005369,2021-03-01,12:15 PM,S003,P00287,5,98503.89,492519.45,145869.32,Cash,C00602
T0095,2021-01-03,07:34 PM,S002,P0013,1,98853.35,98853.35,29569.05,Mobile Payment,C00396
T001633,2023-08-06,04:43 PM,S004,P006,1,45937.72,45937.72,12560.91,Debit Card,C00451
T001441,2021-01-20,12:19 PM,S003,P00169,3,8972.04,26916.12,2568.75,Credit Card,C00150
T002920,2023-04-23,04:26 PM,S005,P00217,2,7471.43,14942.86,473.36,Cash,C00331
T003256,2024-06-06,06:05 PM,S005,P0015,4,17947.74,71790.96,20262.48,Cash,C00530
